"","new.id","tissue","x","y","rename_to","old.id"
"85.2","85.2","SP19_1139",21.4247286842105,26.0683893421053,"","118.2"
"87","87","SP19_1139",20.8966818867925,27.3700543396226,"","120"
"88","88","SP19_1139",21.296752,27.222656,"","121"
"89","89","SP19_1139",20.7336032258065,27.2016548387097,"","122"
"90","90","SP19_1139",21.2649144776119,27.0950814925373,"","123"
"92","92","SP19_1139",20.9470130434783,27.1160495652174,"","124"
"91","91","SP19_1139",20.7911368862275,26.8923886227545,"","125"
"93.1_93.2","93.1_93.2","SP19_1139",21.0768,27.5836377272727,"","128"
"94","94","SP19_1139",20.4759732467532,27.6013262337662,"","127"
"95","95","SP19_1139",20.5984513043478,27.443655,"","129"
"96","96","SP19_1139",20.1726250909091,28.2444890909091,"","130.1"
"97","97","SP19_1139",20.6014663043478,28.2076358695652,"","131"
"99","99","SP19_1139",20.1971109473684,28.0560387368421,"","135"
"98","98","SP19_1139",20.7416446153846,28.0697608791209,"","136"
"100","100","SP19_1139",19.72404,28.9389594244604,"","138"
"101","101","SP19_1139",20.019798,28.865266,"","137.3"
"102.1","102.1","SP19_1139",19.6170080239521,26.3805918562874,"","142.1"
"103","103","SP19_1139",20.047603,26.264507,"","143"
"102.2","102.2","SP19_1139",19.643262278481,26.1928650632911,"","142.2"
"102.3","102.3","SP19_1139",19.7694325,26.11674125,"","142.3"
"104","104","SP19_1139",19.30297,26.0887173469388,"","144"
"105.1","105.1","SP19_1139",20.2862717391304,25.7135404347826,"","146.1"
"105.2","105.2","SP19_1139",20.3991641081081,25.5832163243243,"","146.2"
"106","106","SP19_1139",19.7595620779221,25.3941083116883,"","147"
"107","107","SP19_1139",20.4158925423729,25.1387440677966,"","148"
"108","108","SP19_1139",20.11867,25.0998925,"","149"
"109","109","SP19_1139",20.2845845652174,24.7524454347826,"","151"
"110","110","SP19_1139",21.012564,24.502608,"","155.1"
"112","112","SP19_1139",20.6765181395349,24.3799906976744,"","156"
"111","111","SP19_1139",21.0681188785047,24.3482222429907,"","155.2"
"113","113","SP19_1139",21.0623758241758,24.0742995604396,"","158"
"114","114","SP19_1139",21.1298933333333,23.98056,"","159"
"115","115","SP19_1139",21.2265039378238,23.7652538860104,"","161.2"
"116","116","SP19_1139",20.6409895652174,23.6129389565217,"","163"
"117","117","SP19_1139",21.0221924390244,23.4898525609756,"","164"
"118.1","118.1","SP19_1139",21.2552927083333,23.2351080208333,"","166.1"
"118.2","118.2","SP19_1139",21.5392168965517,23.1311217241379,"","166.2"
"118.3","118.3","SP19_1139",21.3566669387755,23.0963991836735,"","166.3"
"119","119","SP19_1139",21.1123313793103,23.1406255172414,"","167"
"120","120","SP19_1139",21.6112210843374,22.9371980722892,"","168"
"121","121","SP19_1139",21.609556142132,22.6465339086294,"","169"
"122","122","SP19_1139",21.94811375,22.3682025,"","170"
"123","123","SP19_1139",21.5065356521739,22.3211686956522,"","171"
"124","124","SP19_1139",21.3945762580645,22.0203989677419,"","172"
"125","125","SP19_1139",21.6661333,21.8520477,"","173"
"126","126","SP19_1139",22.0239054304636,21.6913386754967,"","174"
"127","127","SP19_1139",21.8304452682927,21.5923627317073,"","175"
"128","128","SP19_4061",1.4129235106383,36.2240375531915,"","181"
"129","129","SP19_4061",1.06968654867257,35.9540555752212,"","182"
"130","130","SP19_4061",1.06658,36.9013082352941,"","183.1,183.2"
"131","131","SP19_4061",0.897404903846154,36.6032831730769,"","185"
"132","132","SP19_4061",1.22938983606557,36.5332059016393,"","184"
"133.1","133.1","SP19_4061",0.412122352941176,37.7532844705882,"","186.1"
